,videoId,publishedAt,channelId,title,description,channelTitle,liveBroadcastContent,publishTime,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
22,x1OQRJNwgcw,2020-04-16 21:38:40+00:00,UCANBW6ACWi9huiCfbKk1pbQ,24 Hour Quarantine Box Fort NOOB Vs PRO Shelter Challenge!,24 Hour Quarantine Box Fort NOOB Vs PRO Shelter Challenge! 24 Hour Quarantine Box Fort Shelter! Today papa jake and logan two brothers build a ...,Papa Jake,none,2020-04-16 21:38:40+00:00,949864,44325,916,0,4484
23,RUd6SL3zQeQ,2020-04-09 09:30:08+00:00,UCnSb2DA8qk-fJnocn3uCdsw,QUARANTINE PHOTOSHOOT CHALLENGE! (Colour themes) | Ashi Khanna,"Hey guys! So as you all know we all are stuck at our homes, and there's no way we can create content together... or maybe WE CAN So i called up Aashna, ...",Ashi Khanna,none,2020-04-09 09:30:08+00:00,908496,62520,770,0,6144
24,_rj5zPtlASw,2020-03-28 18:21:47+00:00,UC_r3trI6eIaptK0zTdhAEqg,LAST TO LEAVE QUARANTINE CHALLENGE IN OUR ROOMS!!,"We decided to have some fun today and we are all quarantined in our rooms, and the last to leave wins!! The last person to leave must be a servant for 24 hrs!",SmellyBellyTV,none,2020-03-28 18:21:47+00:00,884974,14942,421,0,
25,BZ_mSb0c8gU,2020-03-23 15:00:05+00:00,UCK5PP5Up6Dz80dv5G4XuiiA,Day 1: BURN LOWER BELLY FAT (Home Workout Challenge),DO THE FREE QUIZ TO SEE THE BEST PROGRAM FOR YOU HERE: https://bit.ly/3lBZHKC ♡ GET YOUR 30 DAY MEAL PLAN HERE: ...,Holly Dolke,none,2020-03-23 15:00:05+00:00,818268,32308,181,0,2436
26,ZeeqV7FzASY,2020-05-02 12:30:04+00:00,UChc70yKqId2t7MIQ89QKhXA,LAST TO LEAVE THE QUARANTINE WINS MYSTERY PRICE!!! | Emily and Evelyn,LAST TO LEAVE THE QUARANTINE WINS MYSTERY PRICE!!! | Emily and Evelyn We have to eliminate each other to win what's in the mystery box! ♡ Please ...,Emily and Evelyn,none,2020-05-02 12:30:04+00:00,812225,21260,1187,0,
27,_LzoGsPU98E,2020-05-30 05:42:18+00:00,UC3_tkytL9B2GnivS-A-a9pw,Quarantine Takeover Challenge - Teentigada | Sameeksha Sud | Vishal Pandey | Bhavin Bhanushali,Hey guys Hope you all are safe & keeping well with the lockdown Here's yet another challenge video for you: Quarantine Takeover challenge. Watch the ...,Teentigada,none,2020-05-30 05:42:18+00:00,642298,46406,899,0,3118
28,21n2Cw06KyU,2020-04-05 11:09:46+00:00,UChd1FPXykD4pust3ljzq6hQ,GLOBAL PANDEMIC QUARANTINE CHALLENGE! | 60 Seconds Reatomized,60 Seconds Atomic Adventure Reatomized Survival Game where I try to survive with social distancing all alone!! ➡ Let's GO 6000000 subs! Subscribe now!,Thinknoodles,none,2020-04-05 11:09:46+00:00,589613,15261,337,0,2338
29,7ICECYmZuSA,2020-03-24 20:01:55+00:00,UC-yXuc1__OzjwpsJPlxYUCQ,NLE Choppa Starts The #WorldStarQuarantine Challenge,"NLE Choppa Starts The #WorldStarQuarantine Challenge and challenges IDK, Yo Gotti, Blocboy JB & YFN Lucci! Subscribe: http://bit.ly/subWSHH | WSHH ...",WORLDSTARHIPHOP,none,2020-03-24 20:01:55+00:00,524745,18117,400,0,984
30,5vwaM9CK6Nc,2020-03-29 17:07:24+00:00,UCrFWhlHv001rC2lzb2FEhag,COOKING CHALLENGE | QUARANTINE GAMES | DAY 5,"DAY 5 IN QUARANTINE, WE ARE HUNGRY ! SO WE DECIDED TO COOK! ARE WE GOOD OR ARE WE GOING TO FAIL? WHICH TEAM IS GOING TO WIN?",BETZMANN VLOGS,none,2020-03-29 17:07:24+00:00,496648,21613,242,0,924
31,5W0pzx3mPOA,2020-04-18 14:00:00+00:00,UCBIt1VN5j37PVM8LLSuTTlw,The Quarantine Challenge,"Sponsored By Audible: Go to http://www.audible.com/improvementpill or text improvementpill to 500 500 to get one free audiobook, 2 free Audible originals and ...",Improvement Pill,none,2020-04-18 14:00:00+00:00,453253,27844,402,0,1489
